Address,Country,Flipped_Lat,Flipped_Lng,ISO2,ISO3,Index,Latitude,Location,Longitude,Poly_Ctry,Poly_ISO2,Poly_ISO3,Recorded_Lat,Recorded_Lng,Region,Type,geometry,ver_Index
"Humpata, Angola",Angola,-15.03,13.43,AO,AGO,8,-15.03,Humpata,13.43,Angola,AO,AGO,-15.03,13.43,Eastern and Southern Africa,Original,POINT (13.43 -15.03),
"Chianga, Angola",Angola,-12.73,15.83,AO,AGO,7,-12.73,Chianga,15.83,Angola,AO,AGO,-12.73,15.83,Eastern and Southern Africa,Original,POINT (15.83 -12.73),
"Cela, Angola",Angola,-11.42,15.12,AO,AGO,6,-11.42,Cela,15.12,Angola,AO,AGO,-11.42,15.12,Eastern and Southern Africa,Original,POINT (15.12 -11.42),
"Malange, Angola",Angola,-9.533,16.333,AO,AGO,11,-9.533,Malange,16.333,Angola,AO,AGO,-9.533,16.333,Eastern and Southern Africa,Original,POINT (16.333 -9.532999999999999),
"Poligno-floresta, Angola",Angola,-9.52,16.32,AO,AGO,13,-9.52,Poligno-floresta,16.32,Angola,AO,AGO,-9.52,16.32,Eastern and Southern Africa,Original,POINT (16.32 -9.52),
"Cacuso, Angola",Angola,-9.42,15.75,AO,AGO,5,-9.42,Cacuso,15.75,Angola,AO,AGO,-9.42,15.75,Eastern and Southern Africa,Original,POINT (15.75 -9.42),
"Mazozo Experimental Station, Angola",Angola,-9.1,13.7,AO,AGO,12,-9.1,Mazozo Experimental Station,13.7,Angola,AO,AGO,-9.1,13.7,Eastern and Southern Africa,Original,POINT (13.7 -9.1),
"Kilombo, Angola",Angola,-8.91,14.73,AO,AGO,9,-8.91,Kilombo,14.73,Angola,AO,AGO,-8.91,14.73,Eastern and Southern Africa,Original,POINT (14.73 -8.91),
"Kilombo Experimental Station, Angola",Angola,-8.9,14.7,AO,AGO,10,-8.9,Kilombo Experimental Station,14.7,Angola,AO,AGO,-8.9,14.7,Eastern and Southern Africa,Original,POINT (14.7 -8.9),
"Cabinda, St Vincent, Angola",Angola,-5.6,12.2,AO,AGO,4,-5.6,"Cabinda, St Vincent",12.2,Angola,AO,AGO,-5.6,12.2,Eastern and Southern Africa,Original,POINT (12.2 -5.6),
"Tucuman, Argentina",Argentina,-26.8,-65.2,AR,ARG,18,-26.8,Tucuman,-65.2,Argentina,AR,ARG,-26.8,-65.2,South America,Original,POINT (-65.2 -26.8),
"Hathazari, Bangladesh",Bangladesh,22.5,91.78,BD,BGD,26,22.5,Hathazari,91.78,Bangladesh,BD,BGD,22.5,91.78,Asia,Original,POINT (91.78 22.5),
"Jessore, Bangladesh",Bangladesh,23.18,89.17,BD,BGD,30,23.18,Jessore,89.17,Bangladesh,BD,BGD,23.18,89.17,Asia,Original,POINT (89.17 23.18),
"Joydebpur, Bangladesh",Bangladesh,24.0,90.42,BD,BGD,31,24.0,Joydebpur,90.42,Bangladesh,BD,BGD,24.0,90.42,Asia,Original,POINT (90.42 24),
"Ishurdi, Bangladesh",Bangladesh,24.12,89.08,BD,BGD,28,24.12,Ishurdi,89.08,Bangladesh,BD,BGD,24.12,89.08,Asia,Original,POINT (89.08 24.12),27.0
