,Address,Country,Flipped_Lat,Flipped_Lng,Geocoded_Adr,Geocoded_Lat,Geocoded_Lng,ISO2,ISO3,Index,Latitude,Location,Longitude,Recorded_Lat,Recorded_Lng,Region,Type,geometry,ver_Index
0,"Agriculture Training Institute - ATI- Rahmatpur, Barisal, Dhaka-Barisal Highway, 8220, Dhaka-Barisal Highway, Barisal Division, Bangladesh",Bangladesh,22.1,90.5,"Agriculture Training Institute - ATI- Rahmatpur, Barisal, Dhaka-Barisal Highway, 8220, Dhaka-Barisal Highway, Barisal Division, Bangladesh",22.792110049999998,90.28801510193094,BD,BGD,33.0,22.1,Rahmatpur Barisal,90.5,22.79211005,90.28801510193094,Asia,Geocoded,POINT (90.5 22.1),
1,"Wenshan City, Yunnan, China",China,22.47,106.18,"Wenshan City, Yunnan, China",23.4191513,104.0896466,CN,CHN,107.0,22.47,Wenshan,106.18,23.4191513,104.0896466,Asia,Geocoded,POINT (106.18 22.47),
2,"Montería, Córdoba, Colombia",Colombia,8.83,-57.78,"Montería, Córdoba, Colombia",8.7558921,-75.887029,CO,COL,156.0,8.83,Monteria,-57.78,8.7558921,-75.887029,South America,Geocoded,POINT (-57.78 8.83),
3,"Guagaral de Buenos Aires, Provincia Puntarenas, Costa Rica",Costa Rica,11.695269999999999,-85.78125,"Guagaral de Buenos Aires, Provincia Puntarenas, Costa Rica",9.0749483,-83.511078,CR,CRI,211.0,11.695269999999999,Guagaral,-85.78125,9.0749483,-83.511078,Central America and Caribbe,Geocoded,POINT (-85.78125 11.69527),
4,"Alquízar, Artemisa, Cuba",Cuba,23.83,-82.52,"Alquízar, Artemisa, Cuba",22.7664656,-82.60529356062673,CU,CUB,225.0,23.83,Alquizar,-82.52,22.7664656,-82.60529356062673,Central America and Caribbean,Geocoded,POINT (-82.52 23.83),
5,"Cuba, Cuba",Cuba,23.85,-82.52,"Cuba, Cuba",23.0131338,-80.8328748,CU,CUB,226.0,23.85,Tomeguin,-82.52,23.013133800000002,-80.8328748,Central America and Caribbean,Geocoded,POINT (-82.52 23.85),
6,"Kitare, Tigray Region, Ethiopia",Ethiopia,1.01666998863,34.9833297729,"Kitare, Tigray Region, Ethiopia",12.91667,39.56666,ET,ETH,287.0,1.01666998863,Kitale-ws,34.9833297729,12.91667,39.56666,Eastern and Southern Africa,Geocoded,POINT (34.9833297729 1.01666998863),
7,"Kentriko Thessalonikis, 1, Leondos Sofou, 54626, Leondos Sofou, Thessaloniki, Macedonia - Thrace, Greece",Greece,39.09596,23.37891,"Kentriko Thessalonikis, 1, Leondos Sofou, 54626, Leondos Sofou, Thessaloniki, Macedonia - Thrace, Greece",40.6370053,22.9365145,GR,GRC,311.0,39.09596,Thessaloniki-kentriko,23.37891,40.6370053,22.936514499999998,North Africa and Near East,Geocoded,POINT (23.37891 39.09596),
8,"San Isidro, Izabal, Guatemala",Guatemala,16.87,-96.78,"San Isidro, Izabal, Guatemala",15.3179399,-88.8526348,GT,GTM,320.0,16.87,Isidro Avarez,-96.78,15.3179399,-88.8526348,Central America and Caribbean,Geocoded,POINT (-96.78 16.87),
9,"India Gate, Rajpath, 020626, Rajpath, New Delhi, Delhi, India",India,18.35,-66.76,"India Gate, Rajpath, 020626, Rajpath, New Delhi, Delhi, India",28.6128924,77.2294312,IN,IND,393.0,18.35,Dmr I.a.r.i.,-66.76,28.6128924,77.22943120000001,Asia,Geocoded,POINT (-66.76000000000001 18.35),
10,"Indonesia, Indonesia",Indonesia,-5.25,119.05,"Indonesia, Indonesia",-4.7993356,114.5632032,ID,IDN,440.0,-5.25,Bontobili,119.05,-4.7993356,114.56320320000002,Asia,Geocoded,POINT (119.05 -5.25),
11,"Muneng, East Java, Indonesia",Indonesia,-8.83,113.28,"Muneng, East Java, Indonesia",-7.9325776,111.4269451,ID,IDN,446.0,-8.83,Muneng,113.28,-7.9325776,111.42694509999998,Asia,Geocoded,POINT (113.28 -8.83),
12,"Angola, Angola",Angola,,,"Angola, Angola",-11.8775768,17.5691241,,AGO,3.0,0.0,Angola,0.0,-11.877576800000002,17.5691241,Eastern and Southern Africa,Geocoded,,
13,"Ruta Provincial 7, 63000, La Pampa, Argentina",Argentina,,,"Ruta Provincial 7, 63000, La Pampa, Argentina",-36.5361755,-63.9442975,,ARG,14.0,0.0,Anguil - Provincia La Pampa,0.0,-36.5361755,-63.9442975,South America,Geocoded,,
14,"Argentina, Argentina",Argentina,,,"Argentina, Argentina",-34.9964963,-64.9672817,,ARG,15.0,0.0,Argentina,0.0,-34.9964963,-64.9672817,South America,Geocoded,,
15,"El Manantial, K4726, Catamarca, Argentina",Argentina,,,"El Manantial, K4726, Catamarca, Argentina",-28.7273918,-66.1433925,,ARG,16.0,0.0,El Manantial,0.0,-28.7273918,-66.1433925,South America,Geocoded,,
