,index,location,found_lat,found_lng,matched_location
0,3,"('Angola', 'Angola')",-11.8775768,17.5691241,"Angola, Angola"
1,14,"('Anguil - Provincia La Pampa', 'Argentina')",-36.5362218,-63.9442519,"Ruta Provincial 7, 63000, La Pampa, Argentina"
2,15,"('Argentina', 'Argentina')",-34.9964963,-64.9672817,"Argentina, Argentina"
3,17,"('Los Pereyras', 'Argentina')",-34.5121516,-58.5248182,"Unilever Argentina, 4191, Alférez Hipólito Bouchard, B1605BNA, Alférez Hipólito Bouchard, Vicente López, Buenos Aires, Argentina"
4,19,"('Zakatala, City', 'Azerbaijan')",40.58189255,49.6918518562582,"Rivyera City, Sumgayit, Sumqayit, Azerbaijan"
5,20,"('Dinajpur', 'Bangladesh')",25.6260712,88.6346228,"Dinajpur, 5216, Rangpur Division, Bangladesh"
6,21,"('Ars, Rajbari, Dinajpur', 'Bangladesh')",25.6422313,88.6462899,"aristocrats, Dhaka - Dinajpur Hwy, 5200, Dhaka - Dinajpur Hwy, Dinajpur, Rangpur Division, Bangladesh"
7,22,"('Ars. Burirhat, Rangpur', 'Bangladesh')",25.754379999999998,89.24997547234628,"Police Area Quarter, Rangpur Police, Pourobazar Road, 5400, Pourobazar Road, Rangpur, Rangpur Division, Bangladesh"
8,23,"('Bogra', 'Bangladesh')",24.8480859,89.3729529,"Bogra, 5800, Rajshahi Division, Bangladesh"
9,25,"('Gazipur', 'Bangladesh')",23.9980797,90.4229848,"Gazipur, 1702, Dhaka Division, Bangladesh"
10,32,"('Joydebpur, Gazipur', 'Bangladesh')",23.9980797,90.4229848,"Gazipur, 1702, Dhaka Division, Bangladesh"
11,34,"('Rajbari', 'Bangladesh')",23.73987245,89.57039201261236,"Rajbari District, Dhaka Division, Bangladesh"
12,35,"('Rars, Bari, Jamalpur', 'Bangladesh')",24.9510208,89.8722132,"Jamalpur-Melandah Rd, Char Banipakuri, Mymensingh Division, Bangladesh"
13,36,"('Belmopan, Cardi Station', 'Belize')",17.2481986,-88.7647713,"Cardinal Avenue, BZ1000, Belmopan, Cayo, Belize"
14,41,"('Bolivia', 'Bolivia')",-17.0568696,-64.9912286,"Bolivia, Bolivia"
15,46,"('El Abra (santa Cruz)', 'Bolivia')",-18.0342451,-63.45006110158694,"Municipio El Torno, Santa Cruz, Bolivia"
16,47,"('El Palmar (santa Cruz)', 'Bolivia')",-17.0793079,-64.3090184,"El Palmar, Santa Cruz, Bolivia"
17,49,"('Entre Rios', 'Bolivia')",-17.3054892,-64.44148087663636,"Municipio Entre Ríos, +591, Cochabamba, Bolivia"
18,50,"('Fundacion Proinpa', 'Bolivia')",-17.3462403,-66.1577497,"Fundación Cristo Vive Bolivia, Calle Jose Eduardo Guerra, 447, Calle Jose Eduardo Guerra, Cochabamba, Cochabamba, Bolivia"
19,52,"('Lomas De Arena (santa Cruz)', 'Bolivia')",-17.9548566,-63.145631662945014,"Parque Regional y Área Natural de Manejo Integrado Lomas de Arena, Camino Nuevo Palmar, Camino Nuevo Palmar, Municipio La Guardia, Santa Cruz, Bolivia"
20,53,"('Mairana, Santa Cruz', 'Bolivia')",-17.89881405,-64.03835736267116,"Municipio Mairana, Santa Cruz, Bolivia"
21,54,"('Monteagudo', 'Bolivia')",-20.00271135,-64.08909541853487,"Municipio Monteagudo, Chuquisaca, Bolivia"
22,58,"('Pajonal', 'Bolivia')",-21.4849868,-64.168901,"Pajonal, Tarija, Bolivia"
23,59,"('Saavedra', 'Bolivia')",-19.25,-65.5,"Provincia Saavedra, Potosí, Bolivia"
24,60,"('San Ignacio', 'Bolivia')",-15.28290925,-65.61426114395618,"Municipio San Ignacio, Beni, Bolivia"
25,62,"('Santa Cruz (cuatro Caminos)', 'Bolivia')",-17.2762404,-62.174923340622634,"Municipio Cuatro Cañadas, 3391, Santa Cruz, Bolivia"
26,63,"('Santa Cruz De La Sierra', 'Bolivia')",-17.7836009,-63.182206,"Santa Cruz de la Sierra, 3212, Santa Cruz, Bolivia"
27,64,"('Santa Cruz De La Sierra (el Vallecito)', 'Bolivia')",-17.6977599,-63.14502191551192,"UAGRM El Vallecito, Avenida Milton Parra P, Avenida Milton Parra P, Municipio Santa Cruz de la Sierra, Santa Cruz, Bolivia"
28,65,"('Tarija', 'Bolivia')",-21.5340695,-64.7344181,"Tarija, 0601, Tarija, Bolivia"
29,66,"('Valle Del Medio', 'Bolivia')",-21.6074533,-64.1465144,"Valle del Medio, Tarija, Bolivia"
30,67,"('Vallecitos (iboperenda)', 'Bolivia')",-21.7330205,-64.0587266,"Vallecito Los Lapachos, Tarija, Bolivia"
31,69,"('Yacuiba', 'Bolivia')",-22.0129441,-63.6774406,"Yacuiba, Tarija, Bolivia"
32,70,"('Zona Norte De Santa Cruz', 'Bolivia')",-17.750428,-63.18790697531949,"Zona 4x4, Avenida Antonio Vaca Diez, 3212, Avenida Antonio Vaca Diez, Municipio Santa Cruz de la Sierra, Santa Cruz, Bolivia"
33,78,"('Brazil', 'Brazil')",-10.3333333,-53.2,"Brazil, Brazil"
34,79,"('Campo Largo - Pr', 'Brazil')",-10.3926525,-41.4194351,"Campo Largo, Bahia, Brazil"
35,97,"('Honghe', 'China')",23.234737,102.301136,"Honghe County, Yunnan, China"
36,101,"('Mian Yang', 'China')",33.1051332,106.686846,"Yangjia River, 723000, Mian, Shaanxi, China"
37,109,"('Aguas Blancas', 'Colombia')",6.9003599,-75.7235025,"Aguas Blancas., Antioquia, Colombia"
38,110,"('Aguas Claras', 'Colombia')",3.6304011,-73.8070253,"Aguas Claras, Meta, Colombia"
39,111,"('Andremoni', 'Colombia')",2.8894434,-73.783892,"Colombia, Colombia"
40,112,"('Arborates', 'Colombia')",2.8894434,-73.783892,"Colombia, Colombia"
41,114,"('Atuncela, Dagua', 'Colombia')",3.65186675,-76.72289271511232,"Dagua, Valle del Cauca, Colombia"
42,115,"('Bucaramanga', 'Colombia')",7.1114611,-73.1172869,"Bucaramanga, Santander, Colombia"
43,116,"('Bucaramanga, Pinchote', 'Colombia')",7.1114611,-73.1172869,"Bucaramanga, Santander, Colombia"
44,118,"('Buga, Media Canoa', 'Colombia')",3.8922119,-76.368673,"Vía Mediacanoa - Buga, Yotoco, Valle del Cauca, Colombia"
45,119,"('Caicedonia', 'Colombia')",4.3080642000000005,-75.83980499303324,"Caicedonia, Valle del Cauca, Colombia"
46,120,"('Caldono', 'Colombia')",2.796326,-76.4836526,"Caldono, Cauca, Colombia"
47,122,"('Campo Alegre, Huila', 'Colombia')",2.663056,-75.34,"Campo Alegre Airport, Huila, Colombia"
48,123,"('Ca╤a Flecha', 'Colombia')",8.7241403,-75.6877463,"Arroyo Negro, Caserío Flecha, Córdoba, Colombia"
49,124,"('Carmen De Bolivar', 'Colombia')",9.7178623,-75.1238318,"El Carmen de Bolívar, Bolívar, Colombia"
50,125,"('Cerete, Cordoba', 'Colombia')",8.8884178,-75.84239456572658,"Cereté, Córdoba, Colombia"
51,126,"('Cerrito', 'Colombia')",6.8435992,-72.6939627,"Cerrito, Santander, Colombia"
52,127,"('Cienega De Oro', 'Colombia')",9.1108885,-72.8089164,"Río de Oro, Norte de Santander, Colombia"
53,128,"('Ciudad Bolivar', 'Colombia')",5.8500342,-76.0208666,"Ciudad Bolívar, Antioquia, Colombia"
54,129,"('Colombia', 'Colombia')",2.8894434,-73.783892,"Colombia, Colombia"
