Index,Type,Location,Country,Latitude,Longitude,Recorded_Lat,Recorded_Lng,Address,Country_Code
0,correct location data,Darul Aman,Afghanistan,34.48845,69.20288,34.48845,69.20288,"Darul Aman, Afghanistan",AFG
1,correct location data,Darul Aman Kabul (2),Afghanistan,34.48845,69.20288,34.48845,69.20288,"Darul Aman Kabul (2), Afghanistan",AFG
2,correct location data,Qara- Boghe,Afghanistan,34.48845,69.20288,34.48845,69.20288,"Qara- Boghe, Afghanistan",AFG
3,no lat/lng entered / incorrect lat/lng - geocoded location,Angola,Angola,0.0,0.0,-11.8775768,17.5691241,"Angola, Angola",AGO
4,correct location data,"Cabinda, St Vincent",Angola,-5.6,12.2,-5.6,12.2,"Cabinda, St Vincent, Angola",AGO
5,correct location data,Cacuso,Angola,-9.42,15.75,-9.42,15.75,"Cacuso, Angola",AGO
6,correct location data,Cela,Angola,-11.42,15.12,-11.42,15.12,"Cela, Angola",AGO
7,correct location data,Chianga,Angola,-12.73,15.83,-12.73,15.83,"Chianga, Angola",AGO
8,correct location data,Humpata,Angola,-15.03,13.43,-15.03,13.43,"Humpata, Angola",AGO
9,correct location data,Kilombo,Angola,-8.91,14.73,-8.91,14.73,"Kilombo, Angola",AGO
10,correct location data,Kilombo Experimental Station,Angola,-8.9,14.7,-8.9,14.7,"Kilombo Experimental Station, Angola",AGO
11,correct location data,Malange,Angola,-9.533,16.333,-9.533,16.333,"Malange, Angola",AGO
12,correct location data,Mazozo Experimental Station,Angola,-9.1,13.7,-9.1,13.7,"Mazozo Experimental Station, Angola",AGO
13,correct location data,Poligno-floresta,Angola,-9.52,16.32,-9.52,16.32,"Poligno-floresta, Angola",AGO
14,no lat/lng entered / incorrect lat/lng - geocoded location,Anguil - Provincia La Pampa,Argentina,0.0,0.0,-36.5361755,-63.9442975,"Ruta Provincial 7, 63000, La Pampa, Argentina",ARG
15,no lat/lng entered / incorrect lat/lng - geocoded location,Argentina,Argentina,0.0,0.0,-34.9964963,-64.9672817,"Argentina, Argentina",ARG
16,no lat/lng entered / incorrect lat/lng - geocoded location,El Manantial,Argentina,0.0,0.0,-28.7273918,-66.1433925,"El Manantial, K4726, Catamarca, Argentina",ARG
17,no lat/lng entered / incorrect lat/lng - geocoded location,Los Pereyras,Argentina,0.0,0.0,-34.5121516,-58.5248182,"Unilever Argentina, 4191, Alférez Hipólito Bouchard, B1605BNA, Alférez Hipólito Bouchard, Vicente López, Buenos Aires, Argentina",ARG
18,correct location data,Tucuman,Argentina,-26.8,-65.2,-26.8,-65.2,"Tucuman, Argentina",ARG
19,no lat/lng entered / incorrect lat/lng - geocoded location,"Zakatala, City",Azerbaijan,0.0,0.0,40.58189255,49.6918518562582,"Rivyera City, Sumgayit, Sumqayit, Azerbaijan",AZE
20,no lat/lng entered / incorrect lat/lng - geocoded location,Dinajpur,Bangladesh,0.0,0.0,25.6260712,88.6346228,"Dinajpur, 5216, Rangpur Division, Bangladesh",BGD
21,no lat/lng entered / incorrect lat/lng - geocoded location,"Ars, Rajbari, Dinajpur",Bangladesh,0.0,0.0,25.6422313,88.6462899,"aristocrats, Dhaka - Dinajpur Hwy, 5200, Dhaka - Dinajpur Hwy, Dinajpur, Rangpur Division, Bangladesh",BGD
22,no lat/lng entered / incorrect lat/lng - geocoded location,"Ars. Burirhat, Rangpur",Bangladesh,0.0,0.0,25.754379999999998,89.24997547234628,"Police Area Quarter, Rangpur Police, Pourobazar Road, 5400, Pourobazar Road, Rangpur, Rangpur Division, Bangladesh",BGD
23,no lat/lng entered / incorrect lat/lng - geocoded location,Bogra,Bangladesh,0.0,0.0,24.8480859,89.3729529,"Bogra, 5800, Rajshahi Division, Bangladesh",BGD
24,correct location data,Burirhat Farm,Bangladesh,24.37,88.6,24.37,88.6,"Burirhat Farm, Bangladesh",BGD
25,no lat/lng entered / incorrect lat/lng - geocoded location,Gazipur,Bangladesh,0.0,0.0,23.9980797,90.4229848,"Gazipur, 1702, Dhaka Division, Bangladesh",BGD
26,correct location data,Hathazari,Bangladesh,22.5,91.78,22.5,91.78,"Hathazari, Bangladesh",BGD
27,correct location data,Ishurdi,Bangladesh,24.12,89.08,24.12,89.08,"Ishurdi, Bangladesh",BGD
28,correct location data,Ishurdi (2),Bangladesh,24.12,89.08,24.12,89.08,"Ishurdi (2), Bangladesh",BGD
29,correct location data,Jamalpur,Bangladesh,24.93,89.95,24.93,89.95,"Jamalpur, Bangladesh",BGD
30,correct location data,Jessore,Bangladesh,23.18,89.17,23.18,89.17,"Jessore, Bangladesh",BGD
31,correct location data,Joydebpur,Bangladesh,24.0,90.42,24.0,90.42,"Joydebpur, Bangladesh",BGD
32,no lat/lng entered / incorrect lat/lng - geocoded location,"Joydebpur, Gazipur",Bangladesh,0.0,0.0,23.9980797,90.4229848,"Gazipur, 1702, Dhaka Division, Bangladesh",BGD
33,no lat/lng entered / incorrect lat/lng - geocoded location,Rahmatpur Barisal,Bangladesh,22.1,90.5,22.792110049999998,90.28801510193094,"Agriculture Training Institute - ATI- Rahmatpur, Barisal, Dhaka-Barisal Highway, 8220, Dhaka-Barisal Highway, Barisal Division, Bangladesh",BGD
34,no lat/lng entered / incorrect lat/lng - geocoded location,Rajbari,Bangladesh,0.0,0.0,23.73987245,89.57039201261236,"Rajbari District, Dhaka Division, Bangladesh",BGD
35,no lat/lng entered / incorrect lat/lng - geocoded location,"Rars, Bari, Jamalpur",Bangladesh,0.0,0.0,24.9510208,89.8722132,"Jamalpur-Melandah Rd, Char Banipakuri, Mymensingh Division, Bangladesh",BGD
36,no lat/lng entered / incorrect lat/lng - geocoded location,"Belmopan, Cardi Station",Belize,0.0,0.0,17.2481986,-88.7647713,"Cardinal Avenue, BZ1000, Belmopan, Cayo, Belize",BLZ
37,correct location data,Central Farm,Belize,17.0,-89.0,17.0,-89.0,"Central Farm, Belize",BLZ
38,correct location data,San Pedro,Belize,16.23,-89.0,16.23,-89.0,"San Pedro, Belize",BLZ
39,correct location data,Cotonou,Benin,6.3704,2.3715,6.3704,2.3715,"Cotonou, Benin",BEN
