,COUNT,Country,DAYLENGTH,ELEVATION,ELEV_M,EVAP,ElevM,Flipped_Lat,Flipped_Lng,GRIDCODE,Geocoded_Adr,Geocoded_Lat,Geocoded_Lng,ISO2,ISO3,Irrig_p,LATITUDEdec,LONGITUDEdec,Latitude,LatitudeMin,Location,LocationData,LocationID,LocationIDOld,Longitude,LongitudeMin,MAX_TEMP,MEANTEMP,MEANTEMPRange,MIN_TEMP,MegaEnviron,PRE,Region,SITEID,START,Z_M_RAIN,geometry,grlatitud,grlongitud,latitudNS,longitudEW,minlatitud,minlongitud,oldid
0,0.0,BANGLADESH,,0.0,0.0,577.23,0.0,22.1,90.5,0.0,"Agriculture Training Institute - ATI- Rahmatpur, Barisal, Dhaka-Barisal Highway, 8220, Dhaka-Barisal Highway, Barisal Division, Bangladesh",22.792110049999998,90.28801510193094,BD,BGD,0.0,0.0,0.0,22.1,22 6 N,RAHMATPUR BARISAL,0.0,38.0,,90.5,89 90 E,31.54,0.0,,25.42,Wet Lowland,2130.0,Asia,0.0,6.0,,POINT (90.5 22.1),22.0,89.0,N,E,6.0,90.0,1154.0
1,0.0,CHINA,,0.0,0.0,604.832886,385.0,22.47,106.18,0.0,"Wenshan City, Yunnan, China",23.4191513,104.0896466,CN,CHN,0.0,0.0,0.0,22.47,22 28N,WENSHAN,0.0,112.0,,106.18,106 11E,29.244444,0.0,,21.84,Wet Upper Mid-altitude,1343.0,Asia,0.0,5.0,,POINT (106.18 22.47),22.0,106.0,N,E,28.0,11.0,1274.0
2,0.0,COLOMBIA,,0.0,0.0,0.0,15.0,8.83,-57.78,0.0,"Montería, Córdoba, Colombia",8.7558921,-75.887029,CO,COL,0.0,0.0,0.0,8.83,8 50N,MONTERIA,0.0,161.0,,-57.78,57 47W,0.0,0.0,,0.0,,0.0,South America,0.0,0.0,,POINT (-57.78 8.83),8.0,57.0,N,W,50.0,47.0,128.0
3,0.0,COSTA RICA,,0.0,0.0,702.505615234,35.0,11.69527,-85.78125,0.0,"Guagaral de Buenos Aires, Provincia Puntarenas, Costa Rica",9.0749483,-83.511078,CR,CRI,0.0,0.0,0.0,11.69527,,GUAGARAL,0.0,216.0,,-85.78125,,33.9577789307,0.0,,25.3000011444,Wet Lowland,1054.0,Central America and Caribbe,0.0,6.0,,POINT (-85.78125 11.69527),0.0,0.0,,,0.0,0.0,2258.0
4,0.0,CUBA,,0.0,0.0,0.0,51.0,23.83,-82.52,0.0,"Alquízar, Artemisa, Cuba",22.7664656,-82.60529356062673,CU,CUB,0.0,0.0,0.0,23.83,23 50N,ALQUIZAR,0.0,230.0,,-82.52,82 31W,0.0,0.0,,0.0,,0.0,Central America and Caribbean,0.0,0.0,,POINT (-82.52 23.83),23.0,82.0,N,W,50.0,31.0,619.0
5,0.0,CUBA,,0.0,0.0,0.0,50.0,23.85,-82.52,0.0,"Cuba, Cuba",23.0131338,-80.8328748,CU,CUB,0.0,0.0,0.0,23.85,23 51N,TOMEGUIN,0.0,231.0,,-82.52,82 31W,0.0,0.0,,0.0,,0.0,Central America and Caribbean,0.0,0.0,,POINT (-82.52 23.85),23.0,82.0,N,W,51.0,31.0,620.0
6,,ETHIOPIA,,,,570.0,1825.0,1.01666998863,34.9833297729,,"Kitare, Tigray Region, Ethiopia",12.91667,39.56666,ET,ETH,0.0,,,1.01666998863,,KITALE-WS,,292.0,,34.9833297729,,24.2399997711,,,11.6000003815,Wet Upper Mid-altitude,709.0,Eastern and Southern Africa,,4.0,,POINT (34.9833297729 1.01666998863),,,,,,,
7,0.0,GREECE,,0.0,0.0,573.928100586,0.0,39.09596,23.37891,0.0,"Kentriko Thessalonikis, 1, Leondos Sofou, 54626, Leondos Sofou, Thessaloniki, Macedonia - Thrace, Greece",40.6370053,22.9365145,GR,GRC,0.0,0.0,0.0,39.09596,,THESSALONIKI-KENTRIKO,0.0,316.0,,23.37891,,28.8444442749,0.0,,22.1800003052,,3738.0,North Africa and Near East,0.0,5.0,,POINT (23.37891 39.09596),0.0,0.0,,,0.0,0.0,1730.0
8,0.0,GUATEMALA,,0.0,0.0,0.0,0.0,16.87,-96.78,0.0,"San Isidro, Izabal, Guatemala",15.3179399,-88.8526348,GT,GTM,0.0,0.0,0.0,16.87,,ISIDRO AVAREZ,0.0,325.0,,-96.78,,0.0,0.0,,0.0,,0.0,Central America and Caribbean,0.0,0.0,,POINT (-96.78 16.87),0.0,0.0,,,0.0,0.0,2624.0
9,0.0,INDIA,,0.0,0.0,0.0,0.0,18.35,-66.76,0.0,"India Gate, Rajpath, 020626, Rajpath, New Delhi, Delhi, India",28.6128924,77.2294312,IN,IND,0.0,0.0,0.0,18.35,,DMR I.A.R.I.,0.0,398.0,,-66.76,,0.0,0.0,,0.0,,0.0,Asia,0.0,0.0,,POINT (-66.76000000000001 18.35),0.0,0.0,,,0.0,0.0,1986.0
