COUNT,Country,DAYLENGTH,ELEVATION,ELEV_M,EVAP,ElevM,GRIDCODE,ISO2,ISO3,Irrig_p,LATITUDEdec,LONGITUDEdec,Latitude,LatitudeMin,Location,LocationData,LocationID,LocationIDOld,Longitude,LongitudeMin,MAX_TEMP,MEANTEMP,MEANTEMPRange,MIN_TEMP,MegaEnviron,PRE,PolyCountry,PolyISO2,PolyISO3,Region,SITEID,START,Type,Z_M_RAIN,geometry,grlatitud,grlongitud,latitudNS,longitudEW,minlatitud,minlongitud,oldid,temp_lat,temp_lng
361.0,ANGOLA,12.5 to 13.4,1468.0,1894.0,597.0,1890.0,52.0,AO,AGO,0.0,-15.0,13.43,-15.03,,HUMPATA,0.0,10,,13.43,,25.620001,0.0,> 18 and < 24,13.76,Wet Upper Mid-altitude,619.0,Angola,AO,AGO,Eastern and Southern Africa,3.0,12.0,Original,>=200 and <600,POINT (13.43 -15.03),0.0,0.0,,,0.0,0.0,849.0,-15.03,13.43
634.0,ANGOLA,12.5 to 13.4,1736.0,1678.0,570.0,1693.0,53.0,AO,AGO,0.0,-13.0,15.83,-12.73,12 44S,CHIANGA,0.0,9,,15.83,15 50E,24.92,0.0,> 18 and < 24,14.12,Wet Upper Mid-altitude,1049.0,Angola,AO,AGO,Eastern and Southern Africa,1.0,11.0,Original,>= 600 and <2000,POINT (15.83 -12.73),12.0,15.0,S,E,44.0,50.0,846.0,-12.73,15.83
634.0,ANGOLA,,1328.0,1420.0,561.0,1305.0,53.0,AO,AGO,0.0,-11.0,15.12,-11.42,,CELA,0.0,8,,15.12,,25.4,0.0,,15.86,Wet Upper Mid-altitude,784.0,Angola,AO,AGO,Eastern and Southern Africa,0.0,11.0,Original,,POINT (15.12 -11.42),0.0,0.0,,,0.0,0.0,848.0,-11.42,15.12
720.0,ANGOLA,11 to 12.5,0.0,1150.0,556.0,1149.0,22.0,AO,AGO,0.0,-10.0,16.33,-9.533,,MALANGE,0.0,14,,16.333,,27.879999,0.0,> 18 and < 24,16.120001,Wet Upper Mid-altitude,720.0,Angola,AO,AGO,Eastern and Southern Africa,214.0,11.0,Original,>=200 and <600,POINT (16.333 -9.532999999999999),0.0,0.0,,,0.0,0.0,851.0,-9.533,16.333
720.0,ANGOLA,11 to 12.5,1178.0,1161.0,548.0,1162.0,22.0,AO,AGO,0.0,-10.0,16.32,-9.52,,POLIGNO-FLORESTA,0.0,17,,16.32,,27.279999,0.0,> 18 and < 24,15.599999,Wet Upper Mid-altitude,723.0,Angola,AO,AGO,Eastern and Southern Africa,6.0,11.0,Original,>=200 and <600,POINT (16.32 -9.52),0.0,0.0,,,0.0,0.0,853.0,-9.52,16.32
0.0,ANGOLA,,0.0,0.0,547.0,1067.0,0.0,AO,AGO,0.0,0.0,0.0,-9.42,,CACUSO,0.0,7,,15.75,,27.3999996185,0.0,,16.4400005341,Wet Upper Mid-altitude,615.0,Angola,AO,AGO,Eastern and Southern Africa,0.0,12.0,Original,,POINT (15.75 -9.42),0.0,0.0,,,0.0,0.0,1457.0,-9.42,15.75
0.0,ANGOLA,,0.0,0.0,614.0,41.0,0.0,AO,AGO,,0.0,0.0,-9.10000038146973,,MAZOZO,0.0,1358,,13.6999998092651,,30.0,0.0,,23.1599998474121,Dry Lowland,467.0,Angola,AO,AGO,Eastern and Southern Africa,0.0,12.0,Original,,POINT (13.6999998092651 -9.10000038146973),0.0,0.0,,,0.0,0.0,,-9.10000038146973,13.6999998092651
0.0,ANGOLA,,0.0,0.0,614.0,41.0,0.0,AO,AGO,0.0,0.0,0.0,-9.1,,MAZOZO EXPERIMENTAL STATION,0.0,16,,13.7,,30.0,0.0,,23.1599998474,Dry Lowland,467.0,Angola,AO,AGO,Eastern and Southern Africa,0.0,12.0,Original,,POINT (13.7 -9.1),0.0,0.0,,,0.0,0.0,1983.0,-9.1,13.7
429.0,ANGOLA,11 to 12.5,432.0,630.0,594.0,766.0,12.0,AO,AGO,0.0,-9.0,14.73,-8.91,,KILOMBO,0.0,12,,14.73,,29.539999,0.0,>= 24,20.66,Wet Lower Mid-altitude,794.0,Angola,AO,AGO,Eastern and Southern Africa,4.0,12.0,Original,>=200 and <600,POINT (14.73 -8.91),0.0,0.0,,,0.0,0.0,850.0,-8.91,14.73
0.0,ANGOLA,,0.0,0.0,581.0,514.0,0.0,AO,AGO,0.0,0.0,0.0,-8.9,,KILOMBO EXPERIMENTAL STATION,0.0,13,,14.7,,28.6599998474,0.0,,19.7999992371,Wet Lower Mid-altitude,819.0,Angola,AO,AGO,Eastern and Southern Africa,0.0,12.0,Original,,POINT (14.7 -8.9),0.0,0.0,,,0.0,0.0,1982.0,-8.9,14.7
