Index,Type,Location,Country,Latitude,Longitude,Recorded_Lat,Recorded_Lng,Address,Country_Code
0,incorrect location data/cannot find coordinates,Bolivia,"Bolivia, Plurinational State of",0.0,0.0,,,,BOL
1,incorrect location data/cannot find coordinates,El Abra (santa Cruz),"Bolivia, Plurinational State of",0.0,0.0,,,,BOL
2,incorrect location data/cannot find coordinates,El Palmar (santa Cruz),"Bolivia, Plurinational State of",0.0,0.0,,,,BOL
3,incorrect location data/cannot find coordinates,Entre Rios,"Bolivia, Plurinational State of",0.0,0.0,,,,BOL
4,incorrect location data/cannot find coordinates,Fundacion Proinpa,"Bolivia, Plurinational State of",0.0,0.0,,,,BOL
5,incorrect location data/cannot find coordinates,Lomas De Arena (santa Cruz),"Bolivia, Plurinational State of",0.0,0.0,,,,BOL
6,incorrect location data/cannot find coordinates,"Mairana, Santa Cruz","Bolivia, Plurinational State of",0.0,0.0,,,,BOL
7,incorrect location data/cannot find coordinates,Monteagudo,"Bolivia, Plurinational State of",0.0,0.0,,,,BOL
8,incorrect location data/cannot find coordinates,Pajonal,"Bolivia, Plurinational State of",0.0,0.0,,,,BOL
9,incorrect location data/cannot find coordinates,Saavedra,"Bolivia, Plurinational State of",0.0,0.0,,,,BOL
10,incorrect location data/cannot find coordinates,San Ignacio,"Bolivia, Plurinational State of",0.0,0.0,,,,BOL
11,incorrect location data/cannot find coordinates,Santa Cruz (cuatro Caminos),"Bolivia, Plurinational State of",0.0,0.0,,,,BOL
12,incorrect location data/cannot find coordinates,Santa Cruz De La Sierra,"Bolivia, Plurinational State of",0.0,0.0,,,,BOL
13,incorrect location data/cannot find coordinates,Santa Cruz De La Sierra (el Vallecito),"Bolivia, Plurinational State of",0.0,0.0,,,,BOL
14,incorrect location data/cannot find coordinates,Tarija,"Bolivia, Plurinational State of",0.0,0.0,,,,BOL
15,incorrect location data/cannot find coordinates,Valle Del Medio,"Bolivia, Plurinational State of",0.0,0.0,,,,BOL
16,incorrect location data/cannot find coordinates,Vallecitos (iboperenda),"Bolivia, Plurinational State of",0.0,0.0,,,,BOL
17,incorrect location data/cannot find coordinates,Yacuiba,"Bolivia, Plurinational State of",0.0,0.0,,,,BOL
18,incorrect location data/cannot find coordinates,Zona Norte De Santa Cruz,"Bolivia, Plurinational State of",0.0,0.0,,,,BOL
19,no location/country entered / wrong country format,Kazakhstan,Central Asia,0.0,0.0,,,,
20,incorrect location data/cannot find coordinates,"Arguello Bajo, Yacuanquer",Colombia,0.0,0.0,,,,COL
21,incorrect location data/cannot find coordinates,"Comuna San Rafael, Peninsula Sta Elena",Ecuador,0.0,0.0,,,,ECU
22,incorrect location data/cannot find coordinates,Fca. Exp. Josefina Balzar,Ecuador,0.0,0.0,,,,ECU
23,incorrect location data/cannot find coordinates,Armenia,El Salvador,0.0,0.0,,,,SLV
24,incorrect location data/cannot find coordinates,"El Pepito, Concep., Chalate",El Salvador,0.0,0.0,,,,SLV
