Index,Address,Country,ISO3,Latitude,Location,Longitude,Recorded_Lat,Recorded_Lng,Region,Type
90,,not found,NOT FOUND,0.0,Kazakhstan,0.0,,,Asia,incorrect location data/cannot find coordinates
113,,Colombia,COL,0.0,"Arguello Bajo, Yacuanquer",0.0,,,South America,incorrect location data/cannot find coordinates
203,,Congo Republic,COG,0.0,Congo,0.0,,,Eastern and Southern Africa,incorrect location data/cannot find coordinates
205,,Congo Republic,COG,0.0,Tshibati,0.0,,,Eastern and Southern Africa,incorrect location data/cannot find coordinates
228,,Ecuador,ECU,0.0,"Comuna San Rafael, Peninsula Sta Elena",0.0,,,South America,incorrect location data/cannot find coordinates
230,,Ecuador,ECU,0.0,Fca. Exp. Josefina Balzar,0.0,,,South America,incorrect location data/cannot find coordinates
246,,El Salvador,SLV,0.0,Armenia,0.0,,,Central America and Caribbean,incorrect location data/cannot find coordinates
251,,El Salvador,SLV,0.0,"El Pepito, Concep., Chalate",0.0,,,Central America and Caribbean,incorrect location data/cannot find coordinates
257,,El Salvador,SLV,0.0,"Los Cipreses, Conchagua, La Union",0.0,,,Central America and Caribbean,incorrect location data/cannot find coordinates
260,,El Salvador,SLV,0.0,Nueva Concepcion,0.0,,,Central America and Caribbean,incorrect location data/cannot find coordinates
262,,El Salvador,SLV,0.0,San Andres,0.0,,,Central America and Caribbean,incorrect location data/cannot find coordinates
263,,El Salvador,SLV,0.0,San Andres (sb),0.0,,,Central America and Caribbean,incorrect location data/cannot find coordinates
268,,El Salvador,SLV,0.0,Santa Cruz Porrillo,0.0,,,Central America and Caribbean,incorrect location data/cannot find coordinates
275,"Pontevedra, not found",not found,NOT FOUND,40.9799,Pontevedra,-2.10938,,,Europa,incorrect location data/cannot find coordinates
294,,Ethiopia,,0.0,,0.0,,,Eastern and Southern Africa,no location/country entered / wrong country format
318,,Guatemala,GTM,0.0,"Finca, Las Vegas Tequisate.",0.0,,,Central America and Caribbean,incorrect location data/cannot find coordinates
324,,Guatemala,GTM,0.0,La M┴quina Caballo Blanco,0.0,,,Central America and Caribbean,incorrect location data/cannot find coordinates
325,,Guatemala,GTM,0.0,"La Maquina, Linea A5",0.0,,,Central America and Caribbean,incorrect location data/cannot find coordinates
343,,Haiti,HTI,0.0,"Karoman, Lavallee",0.0,,,Central America and Caribbean,incorrect location data/cannot find coordinates
345,,Haiti,HTI,0.0,"Nan- Jn Pierre, Cap-rouge",0.0,,,Central America and Caribbean,incorrect location data/cannot find coordinates
351,,Honduras,HND,0.0,"El Guaco Yorito, Yoro",0.0,,,Central America and Caribbean,incorrect location data/cannot find coordinates
359,,Honduras,HND,0.0,Mina Handa (yorito Yoco),0.0,,,Central America and Caribbean,incorrect location data/cannot find coordinates
362,,Honduras,HND,0.0,Pata Stera (yorito Yoco),0.0,,,Central America and Caribbean,incorrect location data/cannot find coordinates
365,,Honduras,HND,0.0,"Rio Arriba Yorito, Yoro",0.0,,,Central America and Caribbean,incorrect location data/cannot find coordinates
379,,India,IND,0.0,"Bahraich, Crop Research Station",0.0,,,Asia,incorrect location data/cannot find coordinates
412,,India,IND,0.0,Messina,0.0,,,Asia,incorrect location data/cannot find coordinates
439,,India,IND,0.0,Weerasak Doungjan,0.0,,,Asia,incorrect location data/cannot find coordinates
452,,Iran,IRN,0.0,Agricultural Research Station Of Gorgan,0.0,,,Asia,incorrect location data/cannot find coordinates
456,,Iraq,IRQ,0.0,"Bonghdad, Al_mada'en",0.0,,,North Africa and Near East,incorrect location data/cannot find coordinates
488,,Kenya,KEN,0.0,Kitale Syn Ii (ethiopia),0.0,,,Eastern and Southern Africa,incorrect location data/cannot find coordinates
570,"Ciudad Obregon, Mexico",Mexico,MEX,26.67,Ciudad Obregon,-109.42,,,Central America and Caribbean,incorrect location data/cannot find coordinates
721,,Mozambique,MOZ,0.0,Ex-instituto Nacional De Investigacion Agraria,0.0,,,Eastern and Southern Africa,incorrect location data/cannot find coordinates
732,,Mozambique,MOZ,0.0,Ntengo Nucodgi Augoiris,0.0,,,Eastern and Southern Africa,incorrect location data/cannot find coordinates
733,,Mozambique,MOZ,0.0,Ntengo Umadzi- Angoria,0.0,,,Eastern and Southern Africa,incorrect location data/cannot find coordinates
743,,Myanmar,MMR,0.0,Zaloke Research Farm,0.0,,,Asia,incorrect location data/cannot find coordinates
822,,Peru,PER,0.0,"E.e. El Porvenir, Calzada Moyobamba",0.0,,,South America,incorrect location data/cannot find coordinates
885,,Swaziland,SWZ,0.0,Les,0.0,,,Eastern and Southern Africa,incorrect location data/cannot find coordinates
886,,Swaziland,SWZ,0.0,"Lowveld, Brabend",0.0,,,Eastern and Southern Africa,incorrect location data/cannot find coordinates
897,,Tanzania,TZA,0.0,Arusha Seed Farm Afsf,0.0,,,Eastern and Southern Africa,incorrect location data/cannot find coordinates
969,,Venezuela,VEN,0.0,Colonia Agricola De Turen,0.0,,,South America,incorrect location data/cannot find coordinates
982,,Venezuela,VEN,0.0,"Pascual Valetta, Laguna De Piedra",0.0,,,South America,incorrect location data/cannot find coordinates
991,,Venezuela,VEN,0.0,Unidad Agricola De Turen,0.0,,,South America,incorrect location data/cannot find coordinates
994,,Vietnam,VNM,0.0,"Ars, Amberpet, Hyd.",0.0,,,Asia,incorrect location data/cannot find coordinates
1064,"Kaniaka, Congo Republic",Congo Republic,COG,-6.8167,Kaniaka,23.9,,,Eastern and Southern Afric,incorrect location data/cannot find coordinates
1077,,Colombia,COL,0.0,"Puerto Gaitan-carpoica,taluma",0.0,,,South America,incorrect location data/cannot find coordinates
1107,,not found,NOT FOUND,,Unknown,,,,UNKNOWN,incorrect location data/cannot find coordinates
1110,,Congo Republic,COG,,Kipopo,,,,Eastern and Southern Africa,incorrect location data/cannot find coordinates
1111,,Congo Republic,COG,,Kisanga,,,,Eastern and Southern Africa,incorrect location data/cannot find coordinates
1112,,Congo Republic,COG,,Kasinga,,,,Eastern and Southern Africa,incorrect location data/cannot find coordinates
