Index,Address,Country,ISO3,Latitude,Location,Longitude,Recorded_Lat,Recorded_Lng,Region,Type,ver_Index
28,"Ishurdi, Bangladesh",Bangladesh,BGD,24.12,Ishurdi,89.08,24.12,89.08,Asia,correct location data,27
166,"Puerto Lopez, Córdoba, Colombia",Colombia,COL,0.0,Puerto Lopez,0.0,7.7933241,-75.8401892,South America,no lat/lng entered / incorrect lat/lng - geocoded location,161
193,"Turipana, Colombia",Colombia,COL,8.65,Turipana,-75.97,8.65,-75.97,South America,correct location data,185
193,"Turipana, Colombia",Colombia,COL,8.65,Turipana,-75.97,8.65,-75.97,South America,correct location data,185
193,"Turipana, Colombia",Colombia,COL,8.65,Turipana,-75.97,8.65,-75.97,South America,correct location data,185
197,"Valle de Mamancanaca, Magdalena, Colombia",Colombia,COL,0.0,Valle De Magdalena,0.0,10.717347,-73.6220434,South America,no lat/lng entered / incorrect lat/lng - geocoded location,186
197,"Valle de Mamancanaca, Magdalena, Colombia",Colombia,COL,0.0,Valle De Magdalena,0.0,10.717347,-73.6220434,South America,no lat/lng entered / incorrect lat/lng - geocoded location,186
197,"Valle de Mamancanaca, Magdalena, Colombia",Colombia,COL,0.0,Valle De Magdalena,0.0,10.717347,-73.6220434,South America,no lat/lng entered / incorrect lat/lng - geocoded location,186
238,"Porto Viejo, Ecuador",Ecuador,ECU,-1.07,Porto Viejo,-80.43,-1.07,-80.43,South America,correct location data,222
280,"Awassa, Ethiopia",Ethiopia,ETH,7.05,Awassa,38.47,7.05,38.47,Eastern and Southern Africa,correct location data,255
282,"Bako, Ethiopia",Ethiopia,ETH,9.1,Bako,37.15,9.1,37.15,Eastern and Southern Africa,correct location data,256
338,"Tequinzate, Guatemala",Guatemala,GTM,14.27,Tequinzate,-91.35,14.27,-91.35,Central America and Caribbean,correct location data,307
382,"Bangalore, India",India,IND,12.97,Bangalore,77.58,12.97,77.58,Asia,correct location data,343
392,"Dholi, India",India,IND,25.98,Dholi,86.25,25.98,86.25,Asia,correct location data,352
418,"Pantnagar, India",India,IND,29.0,Pantnagar,79.45,29.0,79.45,Asia,correct location data,376
514,"Mokhotlong, Lesotho",Lesotho,LSO,-29.28,Mokhotlong,29.08,-29.28,29.08,Eastern and Southern Africa,correct location data,467
549,"Ameca, Jal., Mexico",Mexico,MEX,20.55,"Ameca, Jal.",-104.05,20.55,-104.05,Central America and Caribbean,correct location data,500
