Index,Address,Country,Country_Code,Latitude,Location,Longitude,Recorded_Lat,Recorded_Lng,Region,Type,ver_Index
0,"Darul Aman, Afghanistan",Afghanistan,AFG,34.48845,Darul Aman,69.20288,34.48845,69.20288,Asia,correct location data,
1,"Darul Aman Kabul (2), Afghanistan",Afghanistan,AFG,34.48845,Darul Aman Kabul (2),69.20288,34.48845,69.20288,Asia,correct location data,
2,"Qara- Boghe, Afghanistan",Afghanistan,AFG,34.48845,Qara- Boghe,69.20288,34.48845,69.20288,Asia,correct location data,
3,"Angola, Angola",Angola,AGO,0.0,Angola,0.0,-11.8775768,17.5691241,Eastern and Southern Africa,no lat/lng entered / incorrect lat/lng - geocoded location,
4,"Cabinda, St Vincent, Angola",Angola,AGO,-5.6,"Cabinda, St Vincent",12.2,-5.6,12.2,Eastern and Southern Africa,correct location data,
5,"Cacuso, Angola",Angola,AGO,-9.42,Cacuso,15.75,-9.42,15.75,Eastern and Southern Africa,correct location data,
6,"Cela, Angola",Angola,AGO,-11.42,Cela,15.12,-11.42,15.12,Eastern and Southern Africa,correct location data,
7,"Chianga, Angola",Angola,AGO,-12.73,Chianga,15.83,-12.73,15.83,Eastern and Southern Africa,correct location data,
8,"Humpata, Angola",Angola,AGO,-15.03,Humpata,13.43,-15.03,13.43,Eastern and Southern Africa,correct location data,
9,"Kilombo, Angola",Angola,AGO,-8.91,Kilombo,14.73,-8.91,14.73,Eastern and Southern Africa,correct location data,
10,"Kilombo Experimental Station, Angola",Angola,AGO,-8.9,Kilombo Experimental Station,14.7,-8.9,14.7,Eastern and Southern Africa,correct location data,
11,"Malange, Angola",Angola,AGO,-9.533,Malange,16.333,-9.533,16.333,Eastern and Southern Africa,correct location data,
12,"Mazozo Experimental Station, Angola",Angola,AGO,-9.1,Mazozo Experimental Station,13.7,-9.1,13.7,Eastern and Southern Africa,correct location data,
13,"Poligno-floresta, Angola",Angola,AGO,-9.52,Poligno-floresta,16.32,-9.52,16.32,Eastern and Southern Africa,correct location data,
14,"Ruta Provincial 7, 63000, La Pampa, Argentina",Argentina,ARG,0.0,Anguil - Provincia La Pampa,0.0,-36.5361755,-63.9442975,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
15,"Argentina, Argentina",Argentina,ARG,0.0,Argentina,0.0,-34.9964963,-64.9672817,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
16,"El Manantial, K4726, Catamarca, Argentina",Argentina,ARG,0.0,El Manantial,0.0,-28.7273918,-66.1433925,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
17,"Unilever Argentina, 4191, Alférez Hipólito Bouchard, B1605BNA, Alférez Hipólito Bouchard, Vicente López, Buenos Aires, Argentina",Argentina,ARG,0.0,Los Pereyras,0.0,-34.5121516,-58.5248182,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
18,"Tucuman, Argentina",Argentina,ARG,-26.8,Tucuman,-65.2,-26.8,-65.2,South America,correct location data,
19,"Rivyera City, Sumgayit, Sumqayit, Azerbaijan",Azerbaijan,AZE,0.0,"Zakatala, City",0.0,40.58189255,49.6918518562582,,no lat/lng entered / incorrect lat/lng - geocoded location,
1227,"Dinajpur, 5216, Rangpur Division, Bangladesh",Bangladesh,BGD,0.0,Dinajpur,0.0,25.6260712,88.6346228,Asia,no lat/lng entered / incorrect lat/lng - geocoded location,20.0
21,"aristocrats, Dhaka - Dinajpur Hwy, 5200, Dhaka - Dinajpur Hwy, Dinajpur, Rangpur Division, Bangladesh",Bangladesh,BGD,0.0,"Ars, Rajbari, Dinajpur",0.0,25.6422313,88.6462899,Asia,no lat/lng entered / incorrect lat/lng - geocoded location,
22,"Police Area Quarter, Rangpur Police, Pourobazar Road, 5400, Pourobazar Road, Rangpur, Rangpur Division, Bangladesh",Bangladesh,BGD,0.0,"Ars. Burirhat, Rangpur",0.0,25.754379999999998,89.24997547234628,Asia,no lat/lng entered / incorrect lat/lng - geocoded location,
23,"Bogra, 5800, Rajshahi Division, Bangladesh",Bangladesh,BGD,0.0,Bogra,0.0,24.8480859,89.3729529,Asia,no lat/lng entered / incorrect lat/lng - geocoded location,
24,"Burirhat Farm, Bangladesh",Bangladesh,BGD,24.37,Burirhat Farm,88.6,24.37,88.6,Asia,correct location data,
25,"Gazipur, 1702, Dhaka Division, Bangladesh",Bangladesh,BGD,0.0,Gazipur,0.0,23.9980797,90.4229848,Asia,no lat/lng entered / incorrect lat/lng - geocoded location,
26,"Hathazari, Bangladesh",Bangladesh,BGD,22.5,Hathazari,91.78,22.5,91.78,Asia,correct location data,
28,"Ishurdi, Bangladesh",Bangladesh,BGD,24.12,Ishurdi,89.08,24.12,89.08,Asia,correct location data,27.0
29,"Jamalpur, Bangladesh",Bangladesh,BGD,24.93,Jamalpur,89.95,24.93,89.95,Asia,correct location data,
30,"Jessore, Bangladesh",Bangladesh,BGD,23.18,Jessore,89.17,23.18,89.17,Asia,correct location data,
31,"Joydebpur, Bangladesh",Bangladesh,BGD,24.0,Joydebpur,90.42,24.0,90.42,Asia,correct location data,
32,"Gazipur, 1702, Dhaka Division, Bangladesh",Bangladesh,BGD,0.0,"Joydebpur, Gazipur",0.0,23.9980797,90.4229848,Asia,no lat/lng entered / incorrect lat/lng - geocoded location,
33,"Agriculture Training Institute - ATI- Rahmatpur, Barisal, Dhaka-Barisal Highway, 8220, Dhaka-Barisal Highway, Barisal Division, Bangladesh",Bangladesh,BGD,22.1,Rahmatpur Barisal,90.5,22.792110049999998,90.28801510193094,Asia,no lat/lng entered / incorrect lat/lng - geocoded location,
34,"Rajbari District, Dhaka Division, Bangladesh",Bangladesh,BGD,0.0,Rajbari,0.0,23.73987245,89.57039201261236,Asia,no lat/lng entered / incorrect lat/lng - geocoded location,
35,"Jamalpur-Melandah Rd, Char Banipakuri, Mymensingh Division, Bangladesh",Bangladesh,BGD,0.0,"Rars, Bari, Jamalpur",0.0,24.9510208,89.8722132,Asia,no lat/lng entered / incorrect lat/lng - geocoded location,
36,"Cardinal Avenue, BZ1000, Belmopan, Cayo, Belize",Belize,BLZ,0.0,"Belmopan, Cardi Station",0.0,17.2481986,-88.7647713,Central America and Caribbean,no lat/lng entered / incorrect lat/lng - geocoded location,
37,"Central Farm, Belize",Belize,BLZ,17.0,Central Farm,-89.0,17.0,-89.0,Central America and Caribbean,correct location data,
38,"San Pedro, Belize",Belize,BLZ,16.23,San Pedro,-89.0,16.23,-89.0,Central America and Caribbean,correct location data,
39,"Cotonou, Benin",Benin,BEN,6.3704,Cotonou,2.3715,6.3704,2.3715,Western Africa,correct location data,
40,"Algarrobal, Bolivia, Plurinational State of","Bolivia, Plurinational State of",BOL,-21.45,Algarrobal,-63.65,-21.45,-63.65,South America,correct location data,
42,"Ca╤ada Larga, Bolivia, Plurinational State of","Bolivia, Plurinational State of",BOL,-17.57,Ca╤ada Larga,-62.43,-17.57,-62.43,South America,correct location data,
43,"Charagua, Bolivia, Plurinational State of","Bolivia, Plurinational State of",BOL,-19.78,Charagua,-63.23,-19.78,-63.23,South America,correct location data,
44,"Chuquisaca, Bolivia, Plurinational State of","Bolivia, Plurinational State of",BOL,-18.47,Chuquisaca,-64.47,-18.47,-64.47,South America,correct location data,
45,"Cotoca, Bolivia, Plurinational State of","Bolivia, Plurinational State of",BOL,-17.75,Cotoca,-62.95,-17.75,-62.95,South America,correct location data,
48,"El Vallecito, Bolivia, Plurinational State of","Bolivia, Plurinational State of",BOL,-17.77,El Vallecito,-63.15,-17.77,-63.15,South America,correct location data,
51,"Iboperenda, Bolivia, Plurinational State of","Bolivia, Plurinational State of",BOL,-19.87,Iboperenda,-63.77,-19.87,-63.77,South America,correct location data,
55,"Okinawa, Bolivia, Plurinational State of","Bolivia, Plurinational State of",BOL,-17.33,Okinawa,-62.08,-17.33,-62.08,South America,correct location data,
56,"Pailon, Bolivia, Plurinational State of","Bolivia, Plurinational State of",BOL,-17.65,Pailon,-62.65,-17.65,-62.65,South America,correct location data,
57,"Pairumani, Bolivia, Plurinational State of","Bolivia, Plurinational State of",BOL,-17.35,Pairumani,-66.32,-17.35,-66.32,South America,correct location data,
61,"San Julian, Santa Cruz, Bolivia, Plurinational State of","Bolivia, Plurinational State of",BOL,-16.8,"San Julian, Santa Cruz",-62.67,-16.8,-62.67,South America,correct location data,
68,"Vallegrande, Bolivia, Plurinational State of","Bolivia, Plurinational State of",BOL,-18.47,Vallegrande,-64.12,-18.47,-64.12,South America,correct location data,
71,"Zuda╤es, Bolivia, Plurinational State of","Bolivia, Plurinational State of",BOL,-19.12,Zuda╤es,-64.2,-19.12,-64.2,South America,correct location data,
72,"Goodhope, Botswana",Botswana,BWA,-25.48,Goodhope,25.47,-25.48,25.47,Eastern and Southern Africa,correct location data,
73,"Hukuntsi, Botswana",Botswana,BWA,-24.0,Hukuntsi,21.8,-24.0,21.8,Eastern and Southern Africa,correct location data,
74,"Pandamatenga, Botswana",Botswana,BWA,-18.55,Pandamatenga,25.65,-18.55,25.65,Eastern and Southern Africa,correct location data,
75,"Pelotshetlha, Botswana",Botswana,BWA,-23.03,Pelotshetlha,26.517,-23.03,26.517,Eastern and Southern Africa,correct location data,
76,"Sebele, Botswana",Botswana,BWA,-24.57,Sebele,25.95,-24.57,25.95,Eastern and Southern Africa,correct location data,
77,"Sebele-lown, Botswana",Botswana,BWA,-24.6,Sebele-lown,26.0,-24.6,26.0,Eastern and Southern Africa,correct location data,
78,"Brazil, Brazil",Brazil,BRA,0.0,Brazil,0.0,-10.3333333,-53.2,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
79,"Campo Largo, Bahia, Brazil",Brazil,BRA,0.0,Campo Largo - Pr,0.0,-10.3926525,-41.4194351,South America,no lat/lng entered / incorrect lat/lng - geocoded location,
80,"Cascavel, Brazil",Brazil,BRA,-24.93,Cascavel,-53.43,-24.93,-53.43,South America,correct location data,
81,"Cravinhos, Brazil",Brazil,BRA,-21.32,Cravinhos,-47.75,-21.32,-47.75,South America,correct location data,
82,"Guaira, Brazil",Brazil,BRA,-24.08,Guaira,-54.25,-24.08,-54.25,South America,correct location data,
83,"Jardinopolis, Brazil",Brazil,BRA,-21.0,Jardinopolis,-47.1,-21.0,-47.1,South America,correct location data,
84,"Sete Lagoas, Brazil",Brazil,BRA,-19.47,Sete Lagoas,-44.25,-19.47,-44.25,South America,correct location data,
85,"Farako-ba, Burkina Faso",Burkina Faso,BFA,11.1,Farako-ba,-4.333333,11.1,-4.333333,Western Africa,correct location data,
86,"Kamboinse, Burkina Faso",Burkina Faso,BFA,12.47,Kamboinse,-1.53,12.47,-1.53,Western Africa,correct location data,
87,"Kouare, Burkina Faso",Burkina Faso,BFA,11.916666,Kouare,-0.166666,11.916666,-0.166666,Western Africa,correct location data,
88,"Burundi, Burundi",Burundi,BDI,-3.3731,Burundi,29.9189,-3.3731,29.9189,Eastern and Southern Africa,correct location data,
89,"Mosso, Burundi",Burundi,BDI,-4.0,Mosso,30.07,-4.0,30.07,Eastern and Southern Africa,correct location data,
91,"Beijing, China",China,CHN,40.0,Beijing,105.0,40.0,105.0,Asia,correct location data,
92,"Bijie, China",China,CHN,27.05,Bijie,105.23,27.05,105.23,Asia,correct location data,
93,"Chengdu, China",China,CHN,30.67,Chengdu,104.07,30.67,104.07,Asia,correct location data,
94,"Fujian Province, China",China,CHN,24.5,Fujian Province,117.65,24.5,117.65,Asia,correct location data,
95,"Guang-xi, China",China,CHN,22.6,Guang-xi,108.17,22.6,108.17,Asia,correct location data,
